in s,C1 in V
-6.567826E-02,-1.0646439E+01
-6.567725E-02,-1.0643387E+01
-6.567624E-02,-1.0640335E+01
-6.567523E-02,-1.0648727E+01
-6.567422E-02,-1.0643387E+01
-6.567322E-02,-1.0650253E+01
-6.567221E-02,-1.0651016E+01
-6.567120E-02,-1.0646439E+01
-6.567019E-02,-1.0654831E+01
-6.566918E-02,-1.0645676E+01
-6.566818E-02,-1.0651016E+01
-6.566717E-02,-1.0647202E+01
-6.566616E-02,-1.0654068E+01
-6.566515E-02,-1.0665512E+01
-6.566414E-02,-1.0656357E+01
-6.566314E-02,-1.0664749E+01
-6.566213E-02,-1.0657883E+01
-6.566112E-02,-1.0654831E+01
-6.566011E-02,-1.0662460E+01
-6.565910E-02,-1.0653305E+01
-6.565810E-02,-1.0647964E+01
-6.565709E-02,-1.0657883E+01
-6.565608E-02,-1.0661697E+01
-6.565507E-02,-1.0663223E+01
-6.565406E-02,-1.0657883E+01
-6.565306E-02,-1.0655594E+01
-6.565205E-02,-1.0663986E+01
-6.565104E-02,-1.0668564E+01
-6.565003E-02,-1.0660934E+01
-6.564902E-02,-1.0660172E+01
-6.564802E-02,-1.0657120E+01
-6.564701E-02,-1.0655594E+01
-6.564600E-02,-1.0652542E+01
-6.564499E-02,-1.0654068E+01
-6.564398E-02,-1.0660934E+01
-6.564298E-02,-1.0653305E+01
-6.564197E-02,-1.0654068E+01
-6.564096E-02,-1.0654831E+01
-6.563995E-02,-1.0655594E+01
-6.563894E-02,-1.0662460E+01
-6.563794E-02,-1.0655594E+01
-6.563693E-02,-1.0664749E+01
-6.563592E-02,-1.0660934E+01
-6.563491E-02,-1.0658646E+01
-6.563390E-02,-1.0661697E+01
-6.563290E-02,-1.0653305E+01
-6.563189E-02,-1.0657120E+01
-6.563088E-02,-1.0660172E+01
-6.562987E-02,-1.0669327E+01
-6.562886E-02,-1.0668564E+01
-6.562786E-02,-1.0665512E+01
-6.562685E-02,-1.0670853E+01
-6.562584E-02,-1.0672379E+01
-6.562483E-02,-1.0654831E+01
-6.562382E-02,-1.0656357E+01
-6.562282E-02,-1.0655594E+01
-6.562181E-02,-1.0666275E+01
-6.562080E-02,-1.0663986E+01
-6.561979E-02,-1.0667801E+01
-6.561878E-02,-1.0665512E+01
-6.561778E-02,-1.0667801E+01
-6.561677E-02,-1.0672379E+01
-6.561576E-02,-1.0668564E+01
-6.561475E-02,-1.0672379E+01
-6.561374E-02,-1.0666275E+01
-6.561274E-02,-1.0654831E+01
-6.561173E-02,-1.0662460E+01
-6.561072E-02,-1.0675430E+01
-6.560971E-02,-1.0667801E+01
-6.560870E-02,-1.0667038E+01
-6.560770E-02,-1.0652542E+01
-6.560669E-02,-1.0672379E+01
-6.560568E-02,-1.0673141E+01
-6.560467E-02,-1.0671616E+01
-6.560366E-02,-1.0668564E+01
-6.560266E-02,-1.0663223E+01
-6.560165E-02,-1.0667801E+01
-6.560064E-02,-1.0661697E+01
-6.559963E-02,-1.0664749E+01
-6.559862E-02,-1.0669327E+01
-6.559762E-02,-1.0675430E+01
-6.559661E-02,-1.0677719E+01
-6.559560E-02,-1.0672379E+01
-6.559459E-02,-1.0660934E+01
-6.559358E-02,-1.0663986E+01
-6.559258E-02,-1.0667801E+01
-6.559157E-02,-1.0675430E+01
-6.559056E-02,-1.0667801E+01
-6.558955E-02,-1.0668564E+01
-6.558854E-02,-1.0667801E+01
-6.558754E-02,-1.0666275E+01
-6.558653E-02,-1.0670090E+01
-6.558552E-02,-1.0670090E+01
-6.558451E-02,-1.0670090E+01
-6.558350E-02,-1.0663986E+01
-6.558250E-02,-1.0668564E+01
-6.558149E-02,-1.0669327E+01
-6.558048E-02,-1.0675430E+01
-6.557947E-02,-1.0672379E+01
-6.557846E-02,-1.0670853E+01
-6.557746E-02,-1.0674667E+01
-6.557645E-02,-1.0678482E+01
-6.557544E-02,-1.0670090E+01
-6.557443E-02,-1.0669327E+01
-6.557342E-02,-1.0672379E+01
-6.557242E-02,-1.0675430E+01
-6.557141E-02,-1.0661697E+01
-6.557040E-02,-1.0658646E+01
-6.556939E-02,-1.0664749E+01
-6.556838E-02,-1.0666275E+01
-6.556738E-02,-1.0672379E+01
-6.556637E-02,-1.0670853E+01
-6.556536E-02,-1.0670853E+01
-6.556435E-02,-1.0672379E+01
-6.556334E-02,-1.0657883E+01
-6.556234E-02,-1.0663223E+01
-6.556133E-02,-1.0660172E+01
-6.556032E-02,-1.0662460E+01
-6.555931E-02,-1.0657883E+01
-6.555830E-02,-1.0658646E+01
-6.555730E-02,-1.0662460E+01
-6.555629E-02,-1.0670090E+01
-6.555528E-02,-1.0674667E+01
-6.555427E-02,-1.0675430E+01
-6.555326E-02,-1.0671616E+01
-6.555226E-02,-1.0670090E+01
-6.555125E-02,-1.0666275E+01
-6.555024E-02,-1.0670853E+01
-6.554923E-02,-1.0663223E+01
-6.554822E-02,-1.0671616E+01
-6.554722E-02,-1.0670853E+01
-6.554621E-02,-1.0667038E+01
-6.554520E-02,-1.0673904E+01
-6.554419E-02,-1.0676193E+01
-6.554318E-02,-1.0672379E+01
-6.554218E-02,-1.0683823E+01
-6.554117E-02,-1.0677719E+01
-6.554016E-02,-1.0680771E+01
-6.553915E-02,-1.0669327E+01
-6.553814E-02,-1.0668564E+01
-6.553714E-02,-1.0676193E+01
-6.553613E-02,-1.0675430E+01
-6.553512E-02,-1.0682297E+01
-6.553411E-02,-1.0680008E+01
-6.553310E-02,-1.0683823E+01
-6.553210E-02,-1.0677719E+01
-6.553109E-02,-1.0674667E+01
-6.553008E-02,-1.0670090E+01
-6.552907E-02,-1.0680008E+01
-6.552806E-02,-1.0688400E+01
-6.552706E-02,-1.0682297E+01
-6.552605E-02,-1.0687637E+01
-6.552504E-02,-1.0679245E+01
-6.552403E-02,-1.0683823E+01
-6.552302E-02,-1.0687637E+01
-6.552202E-02,-1.0689926E+01
-6.552101E-02,-1.0689926E+01
-6.552000E-02,-1.0682297E+01
-6.551899E-02,-1.0686111E+01
-6.551798E-02,-1.0688400E+01
-6.551698E-02,-1.0691452E+01
-6.551597E-02,-1.0687637E+01
-6.551496E-02,-1.0681534E+01
-6.551395E-02,-1.0687637E+01
-6.551294E-02,-1.0683060E+01
-6.551194E-02,-1.0688400E+01
-6.551093E-02,-1.0690689E+01
-6.550992E-02,-1.0696030E+01
-6.550891E-02,-1.0690689E+01
-6.550790E-02,-1.0694504E+01
-6.550690E-02,-1.0691452E+01
-6.550589E-02,-1.0691452E+01
-6.550488E-02,-1.0686874E+01
-6.550387E-02,-1.0681534E+01
-6.550286E-02,-1.0679245E+01
-6.550186E-02,-1.0689163E+01
-6.550085E-02,-1.0682297E+01
-6.549984E-02,-1.0683823E+01
-6.549883E-02,-1.0688400E+01
-6.549782E-02,-1.0684586E+01
-6.549682E-02,-1.0686111E+01
-6.549581E-02,-1.0682297E+01
-6.549480E-02,-1.0687637E+01
-6.549379E-02,-1.0688400E+01
-6.549278E-02,-1.0689163E+01
-6.549178E-02,-1.0694504E+01
-6.549077E-02,-1.0690689E+01
-6.548976E-02,-1.0679245E+01
-6.548875E-02,-1.0686874E+01
-6.548774E-02,-1.0692215E+01
-6.548674E-02,-1.0692978E+01
-6.548573E-02,-1.0695267E+01
-6.548472E-02,-1.0689926E+01
-6.548371E-02,-1.0694504E+01
-6.548270E-02,-1.0697556E+01
-6.548170E-02,-1.0696030E+01
-6.548069E-02,-1.0699081E+01
-6.547968E-02,-1.0683060E+01
-6.547867E-02,-1.0683823E+01
-6.547766E-02,-1.0680008E+01
-6.547666E-02,-1.0683823E+01
-6.547565E-02,-1.0690689E+01
-6.547464E-02,-1.0697556E+01
-6.547363E-02,-1.0692978E+01
-6.547262E-02,-1.0689163E+01
-6.547162E-02,-1.0687637E+01
-6.547061E-02,-1.0699081E+01
-6.546960E-02,-1.0701370E+01
-6.546859E-02,-1.0692978E+01
-6.546758E-02,-1.0691452E+01
-6.546658E-02,-1.0699081E+01
-6.546557E-02,-1.0698318E+01
-6.546456E-02,-1.0699081E+01
-6.546355E-02,-1.0693741E+01
-6.546254E-02,-1.0696030E+01
-6.546154E-02,-1.0702133E+01
-6.546053E-02,-1.0699081E+01
-6.545952E-02,-1.0705948E+01
-6.545851E-02,-1.0697556E+01
-6.545750E-02,-1.0692978E+01
-6.545650E-02,-1.0693741E+01
-6.545549E-02,-1.0699844E+01
-6.545448E-02,-1.0695267E+01
-6.545347E-02,-1.0701370E+01
-6.545246E-02,-1.0688400E+01
-6.545146E-02,-1.0687637E+01
-6.545045E-02,-1.0683060E+01
-6.544944E-02,-1.0685349E+01
-6.544843E-02,-1.0688400E+01
-6.544742E-02,-1.0696030E+01
-6.544642E-02,-1.0696030E+01
-6.544541E-02,-1.0699844E+01
-6.544440E-02,-1.0689926E+01
-6.544339E-02,-1.0698318E+01
-6.544238E-02,-1.0702133E+01
-6.544138E-02,-1.0699844E+01
