in s,C1 in V
-4.5409823E+00,1.537796E+00
-4.5409127E+00,1.546188E+00
-4.5408431E+00,1.553513E+00
-4.5407735E+00,1.559158E+00
-4.5407039E+00,1.564804E+00
-4.5406343E+00,1.569534E+00
-4.5405648E+00,1.574265E+00
-4.5404952E+00,1.578232E+00
-4.5404256E+00,1.580215E+00
-4.5403560E+00,1.582504E+00
-4.5402864E+00,1.583420E+00
-4.5402168E+00,1.584030E+00
-4.5401472E+00,1.583115E+00
-4.5400777E+00,1.580673E+00
-4.5400081E+00,1.578995E+00
-4.5399385E+00,1.576096E+00
-4.5398689E+00,1.572128E+00
-4.5397993E+00,1.567703E+00
-4.5397297E+00,1.561752E+00
-4.5396602E+00,1.555038E+00
-4.5395906E+00,1.548935E+00
-4.5395210E+00,1.541458E+00
-4.5394514E+00,1.532913E+00
-4.5393818E+00,1.522995E+00
-4.5393122E+00,1.513229E+00
-4.5392427E+00,1.501480E+00
-4.5391731E+00,1.490494E+00
-4.5391035E+00,1.478439E+00
-4.5390339E+00,1.465927E+00
-4.5389643E+00,1.451889E+00
-4.5388947E+00,1.437241E+00
-4.5388252E+00,1.422287E+00
-4.5387556E+00,1.406418E+00
-4.5386860E+00,1.390091E+00
-4.5386164E+00,1.373611E+00
-4.5385468E+00,1.357590E+00
-4.5384772E+00,1.341873E+00
-4.5384076E+00,1.324936E+00
-4.5383381E+00,1.307541E+00
-4.5382685E+00,1.288620E+00
-4.5381989E+00,1.271225E+00
-4.5381293E+00,1.252304E+00
-4.5380597E+00,1.233994E+00
-4.5379901E+00,1.215988E+00
-4.5379206E+00,1.197983E+00
-4.5378510E+00,1.179062E+00
-4.5377814E+00,1.160751E+00
-4.5377118E+00,1.141525E+00
-4.5376422E+00,1.122604E+00
-4.5375726E+00,1.104141E+00
-4.5375031E+00,1.085678E+00
-4.5374335E+00,1.067215E+00
-4.5373639E+00,1.048752E+00
-4.5372943E+00,1.031052E+00
-4.5372247E+00,1.012741E+00
-4.5371551E+00,9.954987E-01
-4.5370856E+00,9.767303E-01
-4.5370160E+00,9.582672E-01
-4.5369464E+00,9.410248E-01
-4.5368768E+00,9.253082E-01
-4.5368072E+00,9.088287E-01
-4.5367376E+00,8.928070E-01
-4.5366680E+00,8.773956E-01
-4.5365985E+00,8.636627E-01
-4.5365289E+00,8.499298E-01
-4.5364593E+00,8.354340E-01
-4.5363897E+00,8.209381E-01
-4.5363201E+00,8.079681E-01
-4.5362505E+00,7.953033E-01
-4.5361810E+00,7.840118E-01
-4.5361114E+00,7.740936E-01
-4.5360418E+00,7.653961E-01
-4.5359722E+00,7.563934E-01
-4.5359026E+00,7.487640E-01
-4.5358330E+00,7.411346E-01
-4.5357635E+00,7.351837E-01
-4.5356939E+00,7.281647E-01
-4.5356243E+00,7.228241E-01
-4.5355547E+00,7.183990E-01
-4.5354851E+00,7.150421E-01
-4.5354155E+00,7.129059E-01
-4.5353460E+00,7.118378E-01
-4.5352764E+00,7.112274E-01
-4.5352068E+00,7.106171E-01
-4.5351372E+00,7.122955E-01
-4.5350676E+00,7.136688E-01
-4.5349980E+00,7.156525E-01
-4.5349284E+00,7.190094E-01
-4.5348589E+00,7.238922E-01
-4.5347893E+00,7.295380E-01
-4.5347197E+00,7.356415E-01
-4.5346501E+00,7.415924E-01
-4.5345805E+00,7.487640E-01
